"","id","country","name","lon","lat","temp","feels_like","temp_min","temp_max","pressure","humidity","speed","all","visibility","continent"
"80",1857578,"JP","Matoba",133.95,34.25,11.86,9.23,10.56,13,1014,62,7.56,40,10,"ASIE"
"81",1859472,"JP","Kimiidera",135.2,34.18,12.73,10.18,12,15,1015,82,12.96,75,10,"ASIE"
"82",1861060,"JP","Japan",139.75,35.69,13.56,8.79,10,16,1014,41,14.76,33,10,"ASIE"
"83",1861387,"JP","Ishikawa-ken",136.77,36.77,8.64,6.03,5.56,11,1015,66,5.4,0,10,"ASIE"
"84",1861816,"JP","Ikaruga",134.58,34.83,10.35,8.24,7.22,12,1014,71,5.4,63,10,"ASIE"
"85",1862845,"JP","Higashi-asahimachi",133.07,35.47,12,10,12,12,1014,66,5.4,20,10,"ASIE"
"86",1863250,"JP","Hanabatacho",130.7,32.8,13.94,12.88,13.89,14,1016,76,5.4,20,10,"ASIE"
"87",1864427,"JP","Daisen",133.53,35.38,11.7,9.64,11,12,1014,66,5.4,20,10,"ASIE"
"89",2045761,"RU","De-Friz",131.99,43.28,5,-0.03,5,5,1004,86,18,87,10,"ASIE"
"91",2058430,"AU","Whyalla",137.58,-33.03,32,28.06,32,32,1018,21,16.56,0,10,"AUSTRALIE"
"93",2063213,"AU","Plantagenet Shire",117.6,-34.63,16,11.62,16,16,1019,72,24.12,90,10,"AUSTRALIE"
"94",2065337,"AU","Mundaring",116.17,-31.9,19.03,15.8,18.89,19.44,1021,55,16.56,75,10,"AUSTRALIE"
"95",2065724,"AU","Mortigallup",117.52,-34.47,16,11.62,16,16,1019,72,24.12,90,10,"AUSTRALIE"
"96",2110681,"JP","Tsukuba-kenkyugakuen-toshi",140.12,36.08,13.57,12.76,10,18.33,1015,76,3.6,20,10,"ASIE"
"97",2128894,"JP","Noboribetsu",141.17,42.45,3.65,-2.5,2.78,5,1009,41,16.56,20,10,"ASIE"
"98",2130037,"JP","Hokkaido",141.35,43.06,4.12,-1.99,2.78,6,1009,41,16.56,20,10,"ASIE"
"99",2130135,"JP","Hashimoto",140.75,40.82,6.02,-0.59,4,7.22,1011,56,22.32,40,10,"ASIE"
"100",2147795,"AU","Sutton Forest",150.32,-34.58,18.77,19.39,17.22,21.11,1021,88,8.532,47,10,"AUSTRALIE"
"101",2151649,"AU","Richmond",145,-37.82,22.02,21.08,18.89,24.44,1020,52,7.56,100,10,"AUSTRALIE"
"102",2154855,"AU","North Sydney",151.21,-33.84,19.36,18.89,17.78,20.56,1022,77,11.16,18,10,"AUSTRALIE"
"103",2166584,"AU","Fitzroy",144.98,-37.78,22.03,21.09,18.89,24.44,1020,52,7.56,100,10,"AUSTRALIE"
"104",2171000,"AU","Collingwood",144.98,-37.8,22.03,21.09,18.89,24.44,1020,52,7.56,100,10,"AUSTRALIE"
"106",2176264,"AU","Belmont",153.12,-27.5,20.99,20.73,19.44,22,1024,68,9.36,7,10,"AUSTRALIE"
"107",2177022,"AU","Bamarong",150.53,-34.9,18,18.8,13.33,21.11,1021,88,6.084,48,10,"AUSTRALIE"
"108",2207349,"AU","Bellara",153.15,-27.06,20.98,20.72,18.89,22.78,1024,68,9.36,2,10,"AUSTRALIE"
"109",2476412,"DZ","el hed",4.77,36.65,19,19.16,19,19,1022,72,5.4,40,7,"AFRIQUE"
"110",2479183,"DZ","Souma",2.91,36.52,18,17.75,18,18,1022,82,9.36,90,8,"AFRIQUE"
"111",2482939,"DZ","Rouached",6.04,36.46,17.34,15.98,16,19,1022,63,7.56,75,10,"AFRIQUE"
"112",2483757,"DZ","Reghaia",3.34,36.74,18,17.75,18,18,1022,82,9.36,90,8,"AFRIQUE"
"114",2485801,"DZ","Ouargla",5.33,31.95,23,19.68,23,23,1018,46,18.36,0,4,"AFRIQUE"
"115",2487452,"DZ","Mila",6.26,36.45,17.2,15.8,16,19,1022,63,7.56,75,10,"AFRIQUE"
"116",2487620,"DZ","Metlili Chaamba",3.63,32.27,16,12.02,16,16,1021,67,20.52,90,3,"AFRIQUE"
"117",2491195,"DZ","L’Agha",3.05,36.77,18,17.75,18,18,1022,82,9.36,90,8,"AFRIQUE"
"119",2492345,"DZ","Kerkera",6.59,36.93,19,18.74,19,19,1022,72,7.56,40,7,"AFRIQUE"
"120",2493330,"DZ","I-n-Amenas",9.54,28.04,31,25.72,31,31,1014,6,11.16,13,5,"AFRIQUE"
"121",2496045,"DZ","Wilaya de Ghardaïa",3.17,31.08,17,14.02,17,17,1019,72,18.36,0,2,"AFRIQUE"
"122",2496049,"DZ","Ghardaïa",3.67,32.49,14.76,10.47,12,16,1021,67,20.52,90,3,"AFRIQUE"
"123",2498752,"DZ","El Affroun",2.63,36.47,18,17.75,18,18,1022,82,9.36,90,8,"AFRIQUE"
"125",2507480,"DZ","Algiers",3.04,36.75,18,17.75,18,18,1022,82,9.36,90,8,"AFRIQUE"
"128",2508813,"DZ","Adrar",-0.29,27.87,30,22.7,30,30,1013,20,31.32,0,2,"AFRIQUE"
"129",2634551,"GB","Welwyn Hatfield",-0.22,51.75,12.51,9.1,11,13.89,1024,87,18.36,90,10,"EUROPE"
"130",2636001,"GB","Thornbury",-2.55,52.23,9.14,4.12,3.89,12.78,1023,87,22.32,75,10,"EUROPE"
"131",2638976,"GB","Ruislip",-0.42,51.57,12.5,8.14,11,13.89,1024,76,20.52,75,10,"EUROPE"
"132",2647062,"GB","Hermitage",-1.27,51.46,12.41,8.26,11.67,13.33,1024,81,20.52,90,10,"EUROPE"
"133",2648355,"GB","Golcar",-1.86,53.64,6.74,0.52,5,8.33,1022,87,25.92,40,10,"EUROPE"
"134",2649140,"GB","Foulridge",-2.17,53.88,6.86,0.67,5,8.33,1022,87,25.92,40,10,"EUROPE"
"135",2650353,"GB","East Portlemouth",-3.76,50.23,10.52,5.92,9.44,12.22,1025,81,20.52,75,10,"EUROPE"
"136",2653753,"GB","Carmarthenshire",-4.17,51.83,8.28,3.89,5.56,10.56,1023,100,20.52,100,3.5,"EUROPE"
"137",3007202,"FR","La Portanière",6.17,43.25,17.47,14.8,16.11,18.89,1027,48,9.36,0,10,"EUROPE"
"139",3333211,"GB","Borough of Trafford",-2.33,53.42,6.67,2.96,5,7.78,1024,87,12.96,75,10,"EUROPE"
"140",3333222,"GB","Borough of Wolverhampton",-2.12,52.58,6.63,3.33,3.89,8.89,1023,100,12.96,75,2,"EUROPE"
"141",3333225,"GB","Dundee City",-2.92,56.47,6.01,-1.57,4.44,7,1018,70,29.52,20,10,"EUROPE"
"142",3363094,"ZA","Paarl",18.98,-33.73,24.09,20.33,23.89,24.44,1015,57,27.72,20,10,"AFRIQUE"
"143",3385122,"BR","Viana",-45,-3.22,29.15,33.92,29.15,29.15,1013,72,4.104,67,16,"AMIRIQUE"
"145",3387266,"BR","Solanea",-35.54,-6.75,24,26.82,24,24,1016,88,9.36,75,10,"AMIRIQUE"
"150",3453535,"BR","Piraquara",-49.06,-25.44,19.55,21.98,19,20.56,1018,100,5.4,20,10,"AMIRIQUE"
"152",3455976,"BR","Ôlho d’Água",-48.6,-16.03,22.16,24.48,20,24.44,1019,82,4.536,0,10,"AMIRIQUE"
"153",3456005,"BR","Olaria",-49.17,-25.23,19.55,21.81,19,20.56,1018,93,3.6,66,10,"AMIRIQUE"
"154",3461936,"BR","Guará",-47.9,-15.83,23.58,26.35,23,24.44,1020,78,3.6,2,10,"AMIRIQUE"
"155",3462672,"BR","Gama",-48.08,-15.95,23.6,26.38,23,24.44,1020,78,3.6,2,10,"AMIRIQUE"
"156",3463504,"BR","Distrito Federal",-47.75,-15.75,23.56,26.32,23,24.44,1020,78,3.6,0,10,"AMIRIQUE"
"159",3471324,"BR","Atuba",-49.23,-25.43,19.55,21.81,19,20.56,1018,93,3.6,92,10,"AMIRIQUE"
"160",3472492,"BR","Altamira",-43.57,-19.55,21,22.74,21,21,1019,83,5.4,20,10,"AMIRIQUE"
"161",4047656,"US","Provo",-94.11,34.04,14.39,12.54,13,16.11,1017,93,14.76,90,2.816,"AMIRIQUE"
"162",4056099,"US","Coffee County",-86,31.42,17.55,18.87,16,19.44,1022,100,6.624,90,0.603,"AMIRIQUE"
"163",4070245,"US","Jones Crossroads",-85.48,31.21,17.13,18.45,15,18.89,1022,100,5.724,90,6.437,"AMIRIQUE"
"164",4151245,"US","Clay County",-81.83,30,19.12,20.59,17,20.56,1024,100,9.36,93,11.265,"AMIRIQUE"
"165",4155535,"US","Flagler County",-81.29,29.46,18.36,20.19,16.67,20,1024,93,3.276,40,8.047,"AMIRIQUE"
"166",4158449,"US","Hernando County",-82.46,28.54,18.76,19.21,16.67,21.11,1024,88,9.36,1,16.093,"AMIRIQUE"
"167",4174301,"US","Sumter County",-82.08,28.71,18.4,20.22,16.67,20,1024,100,5.904,40,11.265,"AMIRIQUE"
"168",4191014,"US","DeKalb County",-84.23,33.75,12.48,11.78,10,15,1025,100,7.56,75,2.816,"AMIRIQUE"
"169",4196508,"US","Fulton County",-84.45,33.77,12.51,12.59,10.56,14.44,1024,100,3.6,75,11.265,"AMIRIQUE"
"170",4215307,"US","Pennick",-81.56,31.31,17.33,18.79,16,18.89,1024,100,5.4,90,11.265,"AMIRIQUE"
"171",4255818,"US","Clark County",-85.76,38.48,6.16,2.69,3,8,1024,93,12.204,90,11.265,"AMIRIQUE"
"172",4287837,"US","Clark County",-84.27,37.98,7.02,4.86,6,8,1025,100,7.56,90,11.265,"AMIRIQUE"
"173",4310411,"US","Sylvania",-85.87,38.16,6.54,3.5,4.44,8,1023,87,9.36,90,14.484,"AMIRIQUE"
"174",4344544,"US","Vernon Parish",-93.18,31.12,19.43,21.29,19,20,1018,93,5.4,75,14.484,"AMIRIQUE"
"175",4347820,"US","City of Baltimore",-76.61,39.29,4.06,0.36,1,7.22,1032,75,8.856,1,16.093,"AMIRIQUE"
"176",4673179,"US","Bee House",-98.08,31.4,19.66,20.57,18.89,20,1016,94,11.16,90,16.093,"AMIRIQUE"
"177",5285039,"US","Black Bear Spring",-110.29,31.39,9.81,5.82,7.78,12,1014,37,7.56,20,16.093,"AMIRIQUE"
"178",5391891,"US","San Dimas",-117.81,34.11,5,2.2,-0.56,9,1011,81,5.796,1,2.816,"AMIRIQUE"
"179",5493998,"US","Tejon",-105.29,34.59,5.22,-0.76,3,7.78,1017,69,20.52,1,16.093,"AMIRIQUE"
"180",5815135,"US","Washington",-120.5,47.5,-1.49,-5.71,-5,1.67,1009,69,7.56,1,16.093,"AMIRIQUE"
"181",6316808,"BR","Cardeal Mota",-43.62,-19.33,21,22.74,21,21,1019,83,5.4,20,10,"AMIRIQUE"
"182",6322112,"BR","Arujá",-46.32,-23.38,22.06,23.49,20,25,1018,83,9.36,75,5,"AMIRIQUE"
"183",6425695,"FR","Vallauris",7.05,43.58,16.85,14.06,15.56,18.33,1028,48,9.36,0,10,"EUROPE"
"184",6427088,"FR","Salon-de-Provence",5.1,43.63,17.26,15.48,16,18.33,1027,45,3.6,0,10,"EUROPE"
"185",6438498,"FR","Sin-le-Noble",3.12,50.37,15,9.82,13.33,16.67,1027,50,20.52,0,10,"EUROPE"
"186",6438526,"FR","Tourcoing",3.15,50.72,14.75,9.52,12.78,16.67,1027,50,20.52,0,10,"EUROPE"
"187",6438569,"FR","Wattrelos",3.22,50.7,14.6,9.35,13,15.56,1027,50,20.52,0,10,"EUROPE"
"188",6441676,"FR","Wittenheim",7.33,47.82,16.33,14.89,14.44,18.33,1028,59,5.4,2,10,"EUROPE"
"189",6441760,"FR","Saint-Fons",4.87,45.7,16.14,14.9,14,18.33,1028,63,5.4,38,10,"EUROPE"
"190",6446218,"FR","Verrières-le-Buisson",2.27,48.75,14.92,14.59,13.89,16.67,1029,72,1.8,93,10,"EUROPE"
"191",6446231,"FR","Viry-Châtillon",2.38,48.67,14.88,14.54,13,16.11,1029,72,1.8,93,10,"EUROPE"
"192",6446340,"FR","Soisy-sous-Montmorency",2.3,48.98,14.85,14.5,13,16.11,1029,72,1.8,0,10,"EUROPE"
"193",6446342,"FR","Taverny",2.22,49.03,14.81,14.45,13,16.67,1029,72,1.8,1,10,"EUROPE"
"194",6451981,"FR","Sèvres",2.2,48.82,14.96,14.64,13.89,16.11,1029,72,1.8,1,10,"EUROPE"
"195",6452039,"FR","Villeneuve-le-Roi",2.42,48.73,14.87,14.53,13,16.11,1029,72,1.8,93,10,"EUROPE"
"196",6453748,"FR","Vierzon",2.08,47.22,17.91,16.93,17,19,1028,55,3.6,20,10,"EUROPE"
"197",6454050,"FR","Vitré",-1.2,48.13,14.22,12.75,12,15.56,1028,67,5.4,53,10,"EUROPE"
"198",6454369,"FR","Saint-Avold",6.7,49.1,14.98,12.41,11.67,17.78,1029,58,9.36,20,10,"EUROPE"
"199",6455342,"FR","Saint-Ouen",2.33,48.9,14.82,14.47,13,16.67,1029,72,1.8,0,10,"EUROPE"
"200",6457368,"FR","Arrondissement d'Antony",2.3,48.76,14.88,14.54,13,16.11,1029,72,1.8,0,10,"EUROPE"
"201",6807148,"MY","Kampung Alor Perang",100.39,6.19,33.96,37.56,33.89,34,1007,56,11.16,20,10,"ASIE"
"202",6943577,"AU","Fortitude Valley",153.03,-27.46,20.93,20.65,19.44,22.22,1024,68,9.36,7,10,"AUSTRALIE"
"203",7290632,"GB","Tamworth District",-1.68,52.62,6.95,3.72,5,8.89,1023,100,12.96,75,2,"EUROPE"
"204",7290647,"GB","Nuneaton and Bedworth District",-1.48,52.5,8.44,5.56,5.56,12.78,1023,100,12.96,75,2,"EUROPE"
"205",7290657,"GB","Worcester District",-2.21,52.2,9.61,5.29,4.44,12.78,1023,93,20.52,75,10,"EUROPE"
"206",7291924,"GB","Rhyl",-3.47,53.32,6.67,3.46,4.44,7.78,1024,81,9.36,75,10,"EUROPE"
"207",7291961,"GB","Wroughton",-1.81,51.52,12.14,7.86,11,13.33,1024,87,22.32,90,10,"EUROPE"
"208",7292818,"GB","Caia Park",-2.98,53.05,6.57,3.35,5,7.78,1024,81,9.36,75,10,"EUROPE"
"209",7299965,"GB","Winsford",-2.52,53.19,6.58,2.85,5,7.78,1024,87,12.96,75,10,"EUROPE"
"210",7300065,"GB","Yate",-2.41,51.55,11.96,7.98,10,13.89,1024,87,20.52,90,10,"EUROPE"
"211",7301040,"GB","Tonyrefail",-3.42,51.58,11.32,9.57,8.33,13.89,1024,100,11.16,90,3.4,"EUROPE"
"212",7302683,"AU","Southbank",144.96,-37.82,21.96,21,18.89,24.44,1020,52,7.56,100,10,"AUSTRALIE"
"213",7612483,"MY","Kampung Pasir Penjih",101.09,4.57,28.05,34.72,25,32,1008,94,5.4,40,9,"ASIE"
"214",7697719,"MY","Ladang Lothian",101.72,2.74,27.74,31.03,26.67,29.44,1008,83,14.76,40,8,"ASIE"
"215",7839407,"AU","Palmerston",130.98,-12.5,28.6,32.56,27.78,29,1012,70,5.4,58,10,"AUSTRALIE"
"216",7839424,"AU","Grant",140.63,-37.84,19,18.1,19,19,1019,68,9.36,40,10,"AUSTRALIE"
"218",7839789,"AU","Wingecarribee",150.35,-34.49,18.8,19.43,17.22,21.11,1021,88,8.532,47,10,"AUSTRALIE"
"219",7870412,"ZA","Bartlett",28.25,-26.17,22.07,20.44,21,24,1025,60,14.76,75,10,"AFRIQUE"
